	Ngay	GiaDieuChinh	GiaDongCua	KhoiLuongKhopLenh	GiaTriKhopLenh
0	2006-12-26	28.6	142.0	14150	2009300
1	2006-12-27	30.01	149.0	550	81950
2	2006-12-28	31.42	156.0	1100	171600
3	2006-12-29	32.82	163.0	100	16300
4	2007-01-02	34.44	171.0	6650	1137000000
5	2007-01-03	34.44	171.0	71300	0
6	2007-01-04	36.05	179.0	55360	9808000000
7	2007-01-05	37.66	187.0	42440	0
8	2007-01-08	39.47	196.0	41830	3140000000
9	2007-01-09	39.47	196.0	20650	4047000000
10	2007-01-10	39.87	198.0	30380	5994000000
11	2007-01-11	38.26	190.0	36470	6997000000
12	2007-01-12	38.26	190.0	34650	6546000000
13	2007-01-15	39.67	197.0	78100	15464000000
14	2007-01-16	39.67	197.0	41890	8252000000
15	2007-01-17	39.67	197.0	39220	7748000000
16	2007-01-18	39.27	195.0	36620	7145000000
17	2007-01-19	40.28	200.0	51560	10270000000
18	2007-01-22	40.07	199.0	31810	6315000000
19	2007-01-23	39.87	198.0	24780	4925000000
20	2007-01-24	40.28	200.0	28660	5828000000
21	2007-01-25	40.28	200.0	13010	2590000000
22	2007-01-26	42.29	210.0	7460	1567000000
23	2007-01-29	44.3	220.0	3440	757000000
24	2007-01-30	46.52	231.0	1060	245000000
25	2007-01-31	48.73	242.0	2570	257000000
26	2007-02-01	51.15	254.0	6780	678000000
27	2007-02-02	53.57	266.0	3460	346000000
28	2007-02-05	56.18	279.0	7080	1922000000
29	2007-02-06	58.8	292.0	320	93000000
30	2007-02-07	61.62	306.0	16600	5080000000
31	2007-02-08	64.64	321.0	134660	43226000000
32	2007-02-09	64.64	321.0	43650	13876000000
33	2007-02-12	67.86	337.0	31670	10521000000
34	2007-02-13	69.48	345.0	17080	5868000000
35	2007-02-14	72.9	362.0	32230	11667000000
36	2007-02-15	76.52	380.0	9300	3534000000
37	2007-02-26	80.35	399.0	8900	3551000000
38	2007-02-27	84.18	418.0	15070	6299000000
39	2007-02-28	80.15	398.0	32530	13054000000
40	2007-03-01	80.15	398.0	49730	19856000000
41	2007-03-02	78.74	391.0	38570	15021000000
42	2007-03-05	77.53	385.0	24350	9445000000
43	2007-03-06	73.7	366.0	14030	5146000000
44	2007-03-07	70.48	350.0	34800	12180000000
45	2007-03-08	70.48	350.0	30470	10716000000
46	2007-03-09	72.5	360.0	32970	11784000000
47	2007-03-12	75.92	377.0	28530	10743000000
48	2007-03-13	72.29	359.0	24570	9072000000
49	2007-03-14	68.87	342.0	36400	12449000000
50	2007-03-15	65.45	325.0	19100	6208000000
51	2007-03-16	68.67	341.0	19340	6590000000
52	2007-03-19	72.09	358.0	23060	8255000000
53	2007-03-20	68.67	341.0	22070	7526000000
54	2007-03-21	72.09	358.0	36990	13242000000
55	2007-03-22	74.11	368.0	45190	16792000000
56	2007-03-23	77.73	386.0	83860	32370000000
57	2007-03-26	81.56	405.0	58960	23879000000
58	2007-03-27	77.73	386.0	126140	52347000000
59	2007-03-28	80.55	400.0	52740	20208000000
60	2007-03-29	81.56	405.0	74520	29994000000
61	2007-03-30	79.54	395.0	47120	18771000000
62	2007-04-02	76.52	380.0	50670	19366000000
63	2007-04-03	76.52	380.0	59220	22504000000
64	2007-04-04	45.91	221.0	43700	9537000000
65	2007-04-05	48.19	232.0	79440	18430000000
66	2007-04-06	49.86	240.0	126690	30406000000
67	2007-04-09	47.99	231.0	24800	5748000000
68	2007-04-10	46.74	225.0	26840	6076000000
69	2007-04-11	45.7	220.0	30340	6675000000
70	2007-04-12	43.62	210.0	42520	8929000000
71	2007-04-13	41.55	200.0	74440	14888000000
72	2007-04-16	39.47	190.0	42160	8010000000
73	2007-04-17	38.43	185.0	47540	8735000000
74	2007-04-18	40.3	194.0	33200	6364000000
75	2007-04-19	39.89	192.0	26840	5284000000
76	2007-04-20	38.85	187.0	7890	1465000000
77	2007-04-23	36.98	178.0	10980	1958000000
78	2007-04-24	35.31	170.0	11380	1935000000
79	2007-04-25	36.35	175.0	32110	5496000000
80	2007-05-02	35.52	171.0	22870	3923000000
81	2007-05-03	36.35	175.0	31640	5537000000
82	2007-05-04	35.94	173.0	7660	1327000000
83	2007-05-07	36.98	178.0	35500	6210000000
84	2007-05-08	38.64	186.0	15010	2792000000
85	2007-05-09	38.64	186.0	40910	7742000000
86	2007-05-10	37.39	180.0	8920	0
87	2007-05-11	38.02	183.0	18170	3298000000
88	2007-05-14	37.39	180.0	148330	26380000000
89	2007-05-15	38.02	183.0	116140	21038000000
90	2007-05-16	37.39	180.0	62920	11344000000
91	2007-05-17	37.39	180.0	51410	9230000000
92	2007-05-18	37.18	179.0	64340	11546000000
93	2007-05-21	37.81	182.0	71760	12966000000
94	2007-05-22	37.81	182.0	74630	13536000000
95	2007-05-23	39.05	188.0	87610	16656000000
96	2007-05-24	38.22	184.0	79920	0
